component_id,branch,role,current_status,evidence_status,target_status,source_file,symbol,entrypoint,grep_key,config_keys,inputs,outputs,losses,final_output_effect,runtime_evidence,code_fingerprint_member,last_verified_milestone,review_token,notes
batch6_final_objective_alignment,MyoPS,final objective and production gate alignment,partial,verified,implemented,src/care_myocardium/losses/srr_losses.py,srr_m6_expanded_total_loss,scripts/training/run_srr_batch6_formal.py,loss_final_scar_anchor_error_pathology,configs/srr_production/myops_batch6.yaml,Batch4 selected checkpoint; fold0 176 train / 44 val; nnU-Net anchor,fixed_batch_overfit.json;training_adequacy.json;final_mechanism_interventions.csv,direct final scar/edema; anchor-error directionality; production gate repair/preserve,connected to anchor-bounded final logits; formal300 below usable and stopped before 900,results/20260721_srr_batch6_final_objective_alignment/MANIFEST.md,batch6=srr_propref=8b98ac43;srr_losses=eaabe101;run_myops=e9f531b0;infer_myops=df3922d7;batch6_formal=8619856a;batch6_validator=635f0157;batch6_config=9922ba2c,Batch6 controller packet,NOT_REVIEWED_CONTROLLER_VERIFIED,fixed-overfit PASS; formal300 gate FAIL mean delta; no push/upload/fold/Cine/Batch7
batch5_post_batch4_diagnostic,MyoPS,post-Batch4 checkpoint/loss/gate diagnostic,partial,verified,implemented,scripts/evaluation/audit_srr_batch4_selection_semantics.py,Batch5,scripts/evaluation/audit_srr_batch4_selection_semantics.py,BATCH5,configs/srr_production/myops_batch5.yaml,Batch4 selected checkpoint and 44 fixed validation cases,checkpoint_reranking.csv;mode_intervention_metrics.csv;casewise_mechanism_attribution.csv;oracle_headroom.csv,"backward-only loss audit, optimizer_steps=0",diagnostic only; no deployable candidate selected,results/20260721_srr_batch5_post_batch4_diagnostic_repair/MANIFEST.md,batch5_selection=93d2be96,Batch5 controller packet,VERIFIED_COMPLETE,Primary job 59730568 completed on htzhulab; A100 mirror 59730666 cancelled while pending; no training/upload/Batch6.
inputs_availability,MyoPS,输入与 availability mask,implemented,verified,implemented,src/care_myocardium/models/srr_propref.py,availability,scripts/training/run_srr_propref_myops_fold0.py,availability,modality_order,LGE/T2/C0,availability-aware feature routing,no_t2 safety,controls modality evidence and no-T2 branch behavior,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/review.md,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,"当前代码使用 LGE,T2,C0 availability 顺序；仍需 M10 继续证明困难子组收益。"
modality_stems_encoders,MyoPS,模态 stems/encoders,implemented,verified,implemented,src/care_myocardium/models/srr_propref.py,self.encoders,scripts/training/run_srr_propref_myops_fold0.py,self.encoders,encoder_profile,available modalities,per-modality features,none,feeds retrieval and evidence heads,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/review.md,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,结构存在；当前证据不等于 route promotion。
retrieval_dictionary,MyoPS,检索 dictionary 与表示槽,partial,verified,implemented,src/care_myocardium/models/srr_blocks.py,dictionary_slot_config,scripts/training/run_srr_propref_myops_fold0.py,dictionary_slot_config,dictionary_config;slot_counts,modality features + availability,task routed retrieval features,semantic_retrieval_loss,contributes through SRR branch features and diagnostics,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_dictionary_fidelity_matrix.csv,srr_blocks=8d126023,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,M9 仍显示 dictionary 偏 global，lesion-local 贡献未闭环。
router_pattern_sip,MyoPS,router / Pattern-SIP 状态,partial,verified,implemented,src/care_myocardium/models/srr_blocks.py,RetrievalRouter,scripts/evaluation/aggregate_srr_v3_m9_dictionary_fidelity_packet.py,RetrievalRouter,router_bias;invalid_slot_mask,fused features + anchor summary,slot gates and pattern diagnostics,dictionary entropy/load balance,routes dictionary slots but Pattern-SIP 仍偏 alias/diagnostic,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_dictionary_slot_group_stability.csv,srr_blocks=8d126023,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,M10 不能只保留 Pattern-SIP 名称，必须证明优化目标和最终输出贡献。
prototype_memory,MyoPS,prototype memory 与 hard-negative,partial,verified,implemented,src/care_myocardium/models/srr_propref.py,ProposalDictionary,scripts/training/run_srr_propref_myops_fold0.py,prototype,prototype_bank;hard_negative,feature embeddings,proposal similarity / memory diagnostics,prototype margin,"can affect proposal logits, but memory helper integration remains incomplete",results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_prototype_update_ledger.csv,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,SafePrototypeMemoryBank 仍需证明进入正式前向闭环。
anatomy_prior,MyoPS,解剖先验,partial,verified,implemented,src/care_myocardium/models/srr_propref.py,AnatomyDistanceROIPrior,scripts/training/run_srr_propref_myops_fold0.py,AnatomyDistanceROIPrior,anatomy_roi_prior,anatomy logits + anchor context,union/LV/RV distance gates,anatomy loss,guides proposal/refiner ROI but contribution remains indirect,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/review.md,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,需要 M10 量化对 proposal/refiner 的实际帮助。
scar_proposal,MyoPS,scar proposal,partial,verified,implemented,src/care_myocardium/models/srr_propref.py,scar_dictionary,scripts/training/run_srr_propref_myops_fold0.py,scar_proposal,proposal_thresholds,scar evidence + anatomy prior,scar proposal logits,scar proposal/component ranking,feeds scar refiner and arbitration proposal_delta,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_proposal_refiner_recall_precision.csv,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,proposal recall/precision 仍需提高并与 final logits 绑定。
edema_proposal,MyoPS,edema proposal,partial,verified,implemented,src/care_myocardium/models/srr_propref.py,edema_dictionary,scripts/training/run_srr_propref_myops_fold0.py,edema_proposal,proposal_thresholds,edema evidence + T2 availability,edema proposal logits,edema proposal T2-present only,feeds edema refiner and no-T2 safety gate,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_proposal_refiner_recall_precision.csv,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,T2-present edema hardcases 仍是关键缺口。
