fixture,expected,actual_error_count,status
good,pass,0,PASS
01_missing_followup_token,fail,1,PASS
02_missing_diagram_bootstrap_fields,fail,1,PASS
03_missing_required_file,fail,1,PASS
04_loss_weight_wiring_absent,fail,1,PASS
05_patch_loss_only,fail,1,PASS
06_anchor_residual_final_logits,fail,1,PASS
07_anchor_control_promoted,fail,1,PASS
08_fused_pseudo_modality_formal,fail,1,PASS
09_invalid_slot_active,fail,1,PASS
10_uniform_coverage_pattern_sip,fail,1,PASS
11_deterministic_axis_prototypes_only,fail,1,PASS
12_no_t2_used_as_edema_negative,fail,1,PASS
13_no_t2_emits_edema,fail,1,PASS
14_identical_refiners,fail,1,PASS
15_scar_refiner_missing_evidence,fail,1,PASS
16_edema_refiner_missing_evidence,fail,1,PASS
17_refiner_no_final_label_effect,fail,1,PASS
18_hard_subgroups_missing,fail,1,PASS
19_cine_omitted_optional_ready,fail,1,PASS
20_cine_weight_download_only,fail,1,PASS
21_cine_frame0_or_descriptor_only,fail,1,PASS
22_cine_single_registration_smoke,fail,1,PASS
23_untrained_voxelmorph_ready,fail,1,PASS
24_temporal_dict_without_final_labels,fail,1,PASS
25_monitor_packet_marked_ready,fail,2,PASS
26_smoke_only_formal_training,fail,1,PASS
27_validation_upload_hosted_claim,fail,1,PASS
28_m10_or_fold_expansion_started,fail,1,PASS
29_review_written,fail,1,PASS
30_stale_pending_runtime_in_dictionary_fidelity_matrix,fail,3,PASS
31_stale_partial_code_repair_in_code_patch_summary,fail,2,PASS
32_stale_partial_brr2_contract_pending_runtime,fail,1,PASS
33_stale_nnunet_controls_need_post_job_rows,fail,1,PASS
34_stale_pathology_refiner_pending_runtime,fail,1,PASS
35_stale_formal_training_running_in_prototype_memory_json,fail,3,PASS
36_ready_packet_with_csv_pending_runtime_token,fail,1,PASS
37_ready_packet_with_json_running_token,fail,1,PASS
